config_vector,quality_score
"[0.6748702900902863, 0.5, 0.824853376560739, 0.47020984665090043, 0.3185918759652879, 0.16118630643863435, 0.7767330564321742, 1.0072706412114067, 0.4905978911762751, 0.7, 5.0, 0.5299368938056475, 0.7848580001453404, 0.58703242854741, 0.0, 3.0, 0.4881690597477687, 0.9344782388109605, 0.8100165978611914, 0.52992, 0.5857871143234498, 0.22000000000000003, 7.0]",0.4714134012601631
"[0.7181059036867349, 0.5, 0.5556744030551911, 0.7905888555031888, 0.08405320688066312, 0.37749005190291374, 0.3708414807892032, 1.1736032138468593, 0.5524105721972962, 0.95, 5.0, 0.3267133809131729, 0.5800686630001618, 0.4379208690719512, 1.0, 1.0, 0.620332912888789, 0.7169259897134851, 0.7146891034811567, 0.52372, 0.8578162135969998, 0.22000000000000003, 6.0]",0.649976425658858
"[0.381758753236803, 0.5, 0.45993290904718465, 0.9160421209298806, 0.41416923555143087, 0.016067002493950377, 0.7494320164756456, 0.7812918155415359, 0.46358657589135777, 0.45, 7.0, 0.32434219182579394, 0.8462992844760218, 0.6603515009203775, 1.0, 3.0, 0.6095004642640625, 0.9028705837579443, 0.633040856128555, 0.67584, 0.764506198106332, 0.22000000000000003, 6.0]",0.6204614208417436
"[0.1692898488837929, 1.0, 0.5408330013508761, 0.37820052799322046, 0.35836760832700687, 0.30010125704548835, 0.33815601414492014, 0.9686743601791905, 0.5613330579990471, 0.95, 3.0, 0.24612549296000416, 0.6201820190263084, 0.4008643960425, 1.0, 0.0, 0.7962914771234688, 0.935541342496506, 0.8581511594278538, 0.82612, 0.688210757496995, 0.22000000000000003, 7.0]",0.4048470126834991
"[0.3564459605263164, 0.5, 0.7457423431210238, 0.313223263720713, 0.6953660225966718, 0.6542733178121692, 0.30463856957323693, 1.2992030648401462, 0.3507937933780816, 0.7, 4.0, 0.3732886869311825, 0.6111320788970143, 0.3362599538056188, 3.0, 0.0, 0.6188112272192022, 0.9223021268353391, 0.8665602296701782, 0.5398, 0.7809010582455895, 0.22000000000000003, 8.0]",0.43498665995745645
"[0.22393479201747635, 1.0, 0.0032294119795543974, 0.8501777028634574, 0.20303933864979762, 0.5623292249200557, 0.7660677139468415, 0.8340687784190475, 0.5761484094462866, 0.45, 3.0, 0.6009716198336493, 0.9680063304761144, 0.3134433748854114, 1.0, 1.0, 0.6359540260340539, 1.0523591314575915, 0.5718548401101367, 0.74052, 0.47591943339127185, 0.22000000000000003, 7.0]",0.6223788267269551
"[0.5429148660620075, 1.0, 0.0722659760121972, 0.7198916386838572, 0.4170991882809332, 0.4564302644257989, 0.5701853312159628, 1.0708866025857375, 0.700673486895, 0.8, 5.0, 0.6349254915782421, 0.8775327234695598, 0.5968623747603891, 0.0, 0.0, 0.5390376710449362, 0.9320139484335694, 0.44928357933943525, 0.63124, 0.6409424464903155, 0.22000000000000003, 7.0]",0.49365551484363357
"[0.46255358822960724, 0.5, 0.9905087004073442, 0.6470770251005243, 0.3852634844691107, 0.3443464530706189, 0.6577933425873943, 1.2820828415377208, 0.2709654692249417, 0.8, 7.0, 0.5807081287315506, 0.912176743597023, 0.4175948627527641, 1.0, 2.0, 0.5138990545196447, 1.1980153808221212, 0.678951462887843, 0.62928, 0.5841620502273404, 0.22000000000000003, 6.0]",0.6162130020049525
"[0.10071338354174247, 0.5, 0.5103139985907033, 0.6164828951396999, 0.2101937037715274, 0.4801878001316105, 0.7310807448234538, 1.1236587114840821, 0.4920106532926647, 0.35, 4.0, 0.40715242754664455, 0.6959369292664561, 0.4609746894487477, 0.0, 1.0, 0.37228253243309617, 1.0428686050329774, 0.4248025333348387, 0.595, 0.6041052241260256, 0.22000000000000003, 7.0]",0.48958162727804144
"[0.7317150170737362, 0.5, 0.8703277867819095, 0.8045544093902206, 0.7400284939280947, 0.18948965242070348, 0.42977497669441633, 0.9581769029484211, 0.7162653742883442, 0.6, 7.0, 0.584157215916329, 0.9872690281880413, 0.36921405907001914, 2.0, 1.0, 0.4900256857936565, 0.6884292239939099, 0.5289999176603328, 0.88896, 0.5720398610304642, 0.22000000000000003, 8.0]",0.711350794307045
